Ключевое слово;Результатов в Яндексе;Слов;Символов;Частотность Весь мир;"""!Частотность !Весь !мир""";Количество найденных доменов в Яндексе по слову;Средняя позиция в Яндексе;Позиция в Яндексе unisender.com;query_type;cluster
менеджер проектов;1000000;2;17;33435;1365;1;1;1;commercial;1
видео нейросеть бесплатно;3000000;3;25;84331;1197;1;1;1;commercial;19
файловый менеджер для андроид;322000;4;29;4996;1234;1;1;1;commercial;1
нейросеть видео бесплатно;3000000;3;25;84827;1116;1;1;1;commercial;19
нейросеть создать видео бесплатно;3000000;4;33;13164;766;1;1;1;commercial;19
нейросеть для видео бесплатно;3000000;4;29;27998;636;1;1;1;commercial;19
оферта это простыми;904000;3;19;11858;514;1;1;1;commercial;6
юнисендер личный кабинет;710000;3;24;866;487;1;1;1;commercial;1
нейросеть сделать видео бесплатно;3000000;4;33;6832;472;1;1;1;commercial;19
что такое пост оплата;697000;4;21;787;439;1;1;1;commercial;9
лпр это в продажах;3000000;4;18;906;385;1;1;1;commercial;1
юнисендер вход в личный кабинет;2000000;5;31;374;374;1;1;1;commercial;1
unisender личный кабинет;707000;3;24;400;364;1;1;1;commercial;1
трафик менеджер;236000;2;15;2410;344;1;1;1;commercial;1
нейросеть для монтажа видео бесплатно;3000000;5;37;547;280;1;1;1;commercial;1
проект менеджер;1000000;2;15;33435;269;1;1;1;commercial;1
менеджер по работе с ключевыми клиентами;2000000;6;40;1605;240;1;1;1;commercial;1
рассылка емейл;450000;2;14;2466;156;1;1;1;commercial;1
управление продажами;1000000;2;20;11047;140;1;1;1;commercial;1
что означает постоплата;152000;3;23;498;117;1;1;1;commercial;1
постоплата что означает;126000;3;23;498;117;1;1;1;commercial;1
как войти в телеграмм если не приходит смс с кодом и звонок;3000000;12;59;112;110;1;1;1;commercial;1
себестоимость это в экономике;2000000;4;29;218;105;1;1;1;commercial;1
сервисы для донатов;1000000;3;19;1152;102;1;1;1;commercial;1
менеджер проектов что делает;279000;4;28;352;95;1;1;1;commercial;1
чем занимается проджект менеджер;386000;4;32;213;95;1;1;1;commercial;1
проджект менеджер чем занимается;341000;4;32;213;95;1;1;1;commercial;1
